Id,Category
14,italian
22,mexican
24,southern_us
37,mexican
40,french
41,mexican
44,irish
46,indian
54,thai
60,mexican
61,thai
64,southern_us
69,spanish
70,italian
73,italian
82,indian
89,mexican
91,greek
93,greek
98,japanese
102,filipino
104,chinese
108,southern_us
110,spanish
112,irish
116,french
132,french
141,southern_us
145,southern_us
158,mexican
176,japanese
180,italian
187,italian
189,italian
193,mexican
194,filipino
196,korean
205,italian
208,italian
216,korean
231,mexican
242,korean
252,mexican
259,chinese
262,french
269,southern_us
272,british
275,french
279,mexican
284,korean
291,italian
298,italian
302,french
305,italian
306,french
311,cajun_creole
312,russian
317,italian
323,thai
324,british
332,japanese
336,mexican
340,italian
347,italian
352,mexican
355,greek
362,italian
363,jamaican
366,southern_us
371,mexican
377,chinese
382,thai
385,italian
387,italian
389,french
394,italian
397,italian
402,indian
409,korean
410,chinese
429,french
432,mexican
436,chinese
441,korean
442,southern_us
448,indian
449,mexican
451,indian
452,southern_us
462,southern_us
467,italian
468,jamaican
469,spanish
470,mexican
478,cajun_creole
484,irish
485,mexican
486,chinese
492,mexican
501,irish
506,irish
509,chinese
513,thai
514,italian
516,cajun_creole
522,french
524,italian
532,french
534,mexican
545,filipino
548,moroccan
550,brazilian
572,mexican
576,cajun_creole
589,mexican
595,mexican
597,mexican
598,italian
602,southern_us
609,italian
611,vietnamese
612,southern_us
613,japanese
614,mexican
629,italian
636,french
639,indian
645,italian
647,chinese
650,vietnamese
653,southern_us
654,southern_us
658,cajun_creole
659,cajun_creole
663,italian
666,indian
667,indian
675,southern_us
677,southern_us
684,mexican
700,chinese
709,chinese
711,japanese
720,italian
727,chinese
730,indian
735,filipino
736,italian
742,japanese
745,southern_us
747,italian
758,mexican
764,indian
766,vietnamese
772,mexican
773,italian
786,italian
790,chinese
791,italian
802,southern_us
803,cajun_creole
812,thai
814,italian
818,mexican
829,italian
831,thai
844,greek
845,mexican
849,italian
854,italian
858,filipino
869,southern_us
870,russian
875,cajun_creole
879,italian
887,cajun_creole
888,irish
889,italian
901,vietnamese
903,italian
904,indian
907,jamaican
917,southern_us
928,cajun_creole
931,mexican
933,italian
936,chinese
947,brazilian
951,mexican
952,indian
955,mexican
961,mexican
964,italian
965,japanese
982,french
986,southern_us
993,chinese
994,thai
999,italian
1004,italian
1008,indian
1012,southern_us
1016,cajun_creole
1024,jamaican
1031,indian
1034,southern_us
1035,italian
1040,japanese
1047,italian
1055,mexican
1056,mexican
1060,japanese
